date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:58:10	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Mar%202024%2003:58:09%20GMT	https://dogin.meme/robots.txt		(from )
08:58:10	10966/10966	---M-Z	200	added ('OK')	text/html	date:Sun,%2017%20Mar%202024%2019:27:41%20GMT	https://dogin.meme/	C:/My%20Web%20Sites/dogin/dogin.meme/index.html	(from )
08:58:11	155845/155845	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Feb%202024%2021:43:56%20GMT	https://dogin.meme/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/dogin/dogin.meme/assets/css/bootstrap.min.css	(from https://dogin.meme/)
08:58:11	16930/16930	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Mar%202024%2014:14:18%20GMT	https://dogin.meme/assets/scss/main.css	C:/My%20Web%20Sites/dogin/dogin.meme/assets/scss/main.css	(from https://dogin.meme/)
08:58:11	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/dogin/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://dogin.meme/)
08:58:11	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%2265999b44-23c%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.css	C:/My%20Web%20Sites/dogin/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.css	(from https://dogin.meme/)
08:58:12	3145/3145	---M-Z	200	added ('OK')	text/css	etag:%2265999b42-363%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.css	C:/My%20Web%20Sites/dogin/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.css	(from https://dogin.meme/)
08:58:12	41662/41662	---M--	200	added ('OK')	image/x-icon	date:Thu,%2029%20Feb%202024%2022:17:28%20GMT	https://dogin.meme/assets/images/favicon.ico	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/favicon.ico	(from https://dogin.meme/)
08:58:13	1126/1126	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/icon01.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/icon01.webp	(from https://dogin.meme/)
08:58:13	1790/1790	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/icon02.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/icon02.webp	(from https://dogin.meme/)
08:58:14	1250/1250	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/icon03.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/icon03.webp	(from https://dogin.meme/)
08:58:14	1456/1456	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/icon04.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/icon04.webp	(from https://dogin.meme/)
08:58:14	1008/1008	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/icon05.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/icon05.webp	(from https://dogin.meme/)
08:58:15	1328/1328	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/icon06.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/icon06.webp	(from https://dogin.meme/)
08:58:15	1518/1518	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/icon07.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/icon07.webp	(from https://dogin.meme/)
08:58:16	40332/40332	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/img04.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/img04.webp	(from https://dogin.meme/)
08:58:16	53836/53836	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/img02.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/img02.webp	(from https://dogin.meme/)
08:58:17	82100/82100	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/img01.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/img01.webp	(from https://dogin.meme/)
08:58:18	18082/18082	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/img06.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/img06.webp	(from https://dogin.meme/)
08:58:18	95064/95064	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/img05.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/img05.webp	(from https://dogin.meme/)
08:58:19	45124/45124	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/img03.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/img03.webp	(from https://dogin.meme/)
08:58:19	538/538	---M--	200	added ('OK')	image/webp	date:Sun,%2003%20Mar%202024%2016:16:04%20GMT	https://dogin.meme/assets/images/icon08.webp	C:/My%20Web%20Sites/dogin/dogin.meme/assets/images/icon08.webp	(from https://dogin.meme/)
